Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Paralela,10000,reversed,2,4,4,4,5,728200,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,2,4,4,5,6,899100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,3,8,8,1,10,313200,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,3,8,8,2,7,723700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,3,8,8,3,5,847100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,3,8,8,4,3,384400,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,reversed,3,8,8,5,3,138000,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,10000,duplicates,0,1,1,1,0,350600,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,10000,duplicates,0,1,1,2,0,333700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,10000,duplicates,0,1,1,3,0,325400,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,10000,duplicates,0,1,1,4,0,360500,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,10000,duplicates,0,1,1,5,0,377600,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,1,2,2,1,0,872800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,1,2,2,2,0,734100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,1,2,2,3,0,769700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,1,2,2,4,0,795200,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,1,2,2,5,0,908900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,2,4,4,1,1,623900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,2,4,4,2,2,093000,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,2,4,4,3,2,478500,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,2,4,4,4,2,403300,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,2,4,4,5,2,881800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,3,8,8,1,3,097100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,3,8,8,2,3,229800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,3,8,8,3,2,988900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,3,8,8,4,3,854400,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,10000,duplicates,3,8,8,5,2,897700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,random,0,1,1,1,27,666700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,random,0,1,1,2,25,849700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,random,0,1,1,3,27,266900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,random,0,1,1,4,34,793900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,random,0,1,1,5,24,601600,16,Mon Nov 03 16:19:22 GMT-03:00 2025
