Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
InsertionSort,Paralela,1000,reversed,2,4,4,3,0,691000,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,2,4,4,4,0,713400,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,2,4,4,5,0,665300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,3,8,8,1,0,812600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,3,8,8,2,0,965500,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,3,8,8,3,0,889100,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,3,8,8,4,0,805600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,reversed,3,8,8,5,1,063400,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,duplicates,0,1,1,1,0,069300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,duplicates,0,1,1,2,0,062700,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,duplicates,0,1,1,3,0,061100,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,duplicates,0,1,1,4,0,070300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,duplicates,0,1,1,5,0,068500,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,1,2,2,1,0,750800,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,1,2,2,2,0,599600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,1,2,2,3,0,767300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,1,2,2,4,0,728300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,1,2,2,5,0,552300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,2,4,4,1,0,641300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,2,4,4,2,0,697400,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,2,4,4,3,0,933200,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,2,4,4,4,0,795000,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,2,4,4,5,1,021600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,3,8,8,1,1,547800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,3,8,8,2,1,574800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,3,8,8,3,1,571900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,3,8,8,4,1,386600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,1000,duplicates,3,8,8,5,1,014600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,random,0,1,1,1,1,759800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,random,0,1,1,2,1,715500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,random,0,1,1,3,1,660900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,random,0,1,1,4,1,713900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,random,0,1,1,5,1,644200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,1,2,2,1,1,290100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,1,2,2,2,1,714700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,1,2,2,3,2,005300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,1,2,2,4,1,336900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,1,2,2,5,1,280100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,2,4,4,1,1,004700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,2,4,4,2,0,975200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,2,4,4,3,1,018200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,2,4,4,4,1,073100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,2,4,4,5,1,119400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,3,8,8,1,1,083600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,3,8,8,2,1,422600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,3,8,8,3,1,323700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,3,8,8,4,3,689500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,random,3,8,8,5,1,157800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,sorted,0,1,1,1,0,011400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,sorted,0,1,1,2,0,007800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,sorted,0,1,1,3,0,006500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,sorted,0,1,1,4,0,006500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,sorted,0,1,1,5,0,006400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,1,2,2,1,0,581600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,1,2,2,2,0,654200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,1,2,2,3,0,782500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,1,2,2,4,0,588600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,1,2,2,5,0,547400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,2,4,4,1,0,853800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,2,4,4,2,0,949000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,2,4,4,3,0,779300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,2,4,4,4,0,687300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,2,4,4,5,0,764700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,3,8,8,1,0,966600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,3,8,8,2,1,311600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,3,8,8,3,1,171900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
