Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Paralela,10000,reversed,2,4,4,4,1,618700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,2,4,4,5,2,050500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,3,8,8,1,2,704700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,3,8,8,2,2,827900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,3,8,8,3,2,542600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,3,8,8,4,3,001000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,reversed,3,8,8,5,4,996900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,duplicates,0,1,1,1,0,990100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,duplicates,0,1,1,2,0,961500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,duplicates,0,1,1,3,0,943100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,duplicates,0,1,1,4,1,125900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,duplicates,0,1,1,5,1,011400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,1,2,2,1,1,123400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,1,2,2,2,1,149300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,1,2,2,3,1,227500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,1,2,2,4,0,976500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,1,2,2,5,1,038000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,2,4,4,1,1,672800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,2,4,4,2,1,624600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,2,4,4,3,1,756100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,2,4,4,4,1,869900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,2,4,4,5,1,709700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,3,8,8,1,2,368500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,3,8,8,2,2,671700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,3,8,8,3,2,381500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,3,8,8,4,2,411000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,duplicates,3,8,8,5,2,473300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,random,0,1,1,1,12,692200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,random,0,1,1,2,13,333500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,random,0,1,1,3,8,375800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,random,0,1,1,4,8,707500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,random,0,1,1,5,8,725100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,1,2,2,1,4,816500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,1,2,2,2,5,200200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,1,2,2,3,4,492600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,1,2,2,4,5,049600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,1,2,2,5,7,471200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,2,4,4,1,3,454900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,2,4,4,2,3,964400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,2,4,4,3,3,918400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,2,4,4,4,4,423400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,2,4,4,5,4,357700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,3,8,8,1,4,033000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
