Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Paralela,10000,reversed,2,4,4,1,3.401100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,2,4,4,2,2.041400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,2,4,4,3,4.874500,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,2,4,4,4,1.355400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,2,4,4,5,1.532999,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,3,8,8,1,2.014200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,3,8,8,2,1.589600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,3,8,8,3,2.219100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,3,8,8,4,1.465099,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,reversed,3,8,8,5,1.482400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,10000,duplicates,0,1,1,1,0.203400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,10000,duplicates,0,1,1,2,0.221000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,10000,duplicates,0,1,1,3,0.267699,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,10000,duplicates,0,1,1,4,0.272400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,10000,duplicates,0,1,1,5,0.242100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,1,2,2,1,0.492101,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,1,2,2,2,0.516600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,1,2,2,3,0.602700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,1,2,2,4,0.434901,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,1,2,2,5,0.398899,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,2,4,4,1,0.721001,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,2,4,4,2,0.985800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,2,4,4,3,1.029499,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,2,4,4,4,1.326300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,2,4,4,5,0.959799,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,3,8,8,1,2.342900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,3,8,8,2,2.503300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,3,8,8,3,1.978699,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,3,8,8,4,1.411100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,duplicates,3,8,8,5,2.448801,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,random,0,1,1,1,20.507200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,random,0,1,1,2,23.447400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,random,0,1,1,3,21.889300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,random,0,1,1,4,15.303200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,random,0,1,1,5,16.113400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,1,2,2,1,12.476601,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,1,2,2,2,13.958499,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,1,2,2,3,11.657000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,1,2,2,4,11.472800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,1,2,2,5,11.603499,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,2,4,4,1,11.173101,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,2,4,4,2,11.510299,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,2,4,4,3,13.481200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,2,4,4,4,10.634100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,2,4,4,5,10.878800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,3,8,8,1,10.536400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,3,8,8,2,10.512000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,3,8,8,3,13.252700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,3,8,8,4,13.793900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,random,3,8,8,5,12.771600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,sorted,0,1,1,1,9.732200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,sorted,0,1,1,2,9.494000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,sorted,0,1,1,3,13.927300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,sorted,0,1,1,4,15.797000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,sorted,0,1,1,5,15.522700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,1,2,2,1,7.631600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,1,2,2,2,5.392300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,1,2,2,3,5.371200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,1,2,2,4,5.710600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,1,2,2,5,5.669000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,2,4,4,1,6.065500,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,2,4,4,2,5.997099,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,2,4,4,3,4.002000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,2,4,4,4,4.487100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,2,4,4,5,4.167900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,3,8,8,1,4.142901,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,3,8,8,2,4.627300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,3,8,8,3,4.271300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,3,8,8,4,6.544800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,sorted,3,8,8,5,4.232400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,reversed,0,1,1,1,9.402100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,reversed,0,1,1,2,9.318200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,reversed,0,1,1,3,9.585600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,reversed,0,1,1,4,9.531300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,reversed,0,1,1,5,9.356400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,1,2,2,1,5.572801,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,1,2,2,2,7.056201,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,1,2,2,3,5.538900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,1,2,2,4,5.442400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,1,2,2,5,5.121000,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,2,4,4,1,3.909400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,2,4,4,2,4.005501,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,2,4,4,3,3.878400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,2,4,4,4,6.766900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,2,4,4,5,6.114700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,3,8,8,1,6.139700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,3,8,8,2,5.163299,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,3,8,8,3,4.196800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,3,8,8,4,4.376900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,reversed,3,8,8,5,4.304900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,duplicates,0,1,1,1,1.039801,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,duplicates,0,1,1,2,1.032700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,duplicates,0,1,1,3,1.002800,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,duplicates,0,1,1,4,1.010699,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Serial,50000,duplicates,0,1,1,5,1.009700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,1,2,2,1,0.998400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,1,2,2,2,0.950699,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,1,2,2,3,0.832199,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,1,2,2,4,0.890200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,1,2,2,5,0.832100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,2,4,4,1,1.023900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,2,4,4,2,1.169099,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,50000,duplicates,2,4,4,3,1.045999,16,Wed Nov 12 08:20:43 BRT 2025
