Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Paralela,10000,reversed,2,4,4,1,1.054500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,2,0.830401,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,3,0.861600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,4,0.765600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,5,1.194700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,1,1.151600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,2,1.236000,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,3,1.374799,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,4,1.223500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,5,1.113800,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,1,0.821301,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,2,0.755401,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,3,0.720499,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,4,0.733901,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,5,0.769500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,1,2,2,1,0.744200,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,1,2,2,2,0.640300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,1,2,2,3,0.651700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,1,2,2,4,0.606201,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,1,2,2,5,0.670501,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,2,4,4,1,0.827200,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,2,4,4,2,0.847799,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,2,4,4,3,0.792700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,2,4,4,4,0.810600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,2,4,4,5,0.843599,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,3,8,8,1,1.090701,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,3,8,8,2,1.344100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,3,8,8,3,2.762800,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,3,8,8,4,1.083299,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,duplicates,3,8,8,5,1.151100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,50000,random,0,1,1,1,5.516300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,50000,random,0,1,1,2,4.887100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,50000,random,0,1,1,3,5.076199,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,50000,random,0,1,1,4,5.321800,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,50000,random,0,1,1,5,5.851400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,50000,random,1,2,2,1,4.011699,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,50000,random,1,2,2,2,3.231400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,50000,random,1,2,2,3,3.418900,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,50000,random,1,2,2,4,3.487900,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,50000,random,1,2,2,5,3.927600,16,Wed Nov 12 08:20:41 BRT 2025
